amount,date,spender,recipient
20248293.2,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Informatikdienste
16427909.65,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Informatikdienste
10714156.04,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Schul- und Büromaterialzentrale
11356443.0,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Schul- und Büromaterialzentrale
10670690.49,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Schul- und Büromaterialzentrale
11789702.59,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Schul- und Büromaterialzentrale
3044400.0,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtbauten (StaBe)
3062098.2,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtbauten (StaBe)
2991251.15,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtbauten (StaBe)
3022772.75,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtbauten (StaBe)
43096814.24,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtentwässerung
44606307.84,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtentwässerung
55061880.92,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtentwässerung
58660589.82,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Stadtentwässerung
66180684.0,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Fonds für Boden- und Wohnbaupolitik
69322890.0,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Fonds für Boden- und Wohnbaupolitik
86173962.41,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Fonds für Boden- und Wohnbaupolitik
93706690.67,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Fonds für Boden- und Wohnbaupolitik
31343454.04,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Entsorgung + Recycling
31332962.0,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Entsorgung + Recycling
31413552.0,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Entsorgung + Recycling
31446609.17,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Entsorgung + Recycling
